1,
26,36,16,18,7,7,-10,-6,
27,32,14,18,0,4,-19,-16,
39,38,13,19,-4,8,-8,-13,
35,28,-2,9,-3,-4,-22,-19,
23,35,-3,15,-6,2,-10,-15,
31,40,1,12,-9,-4,-9,-4,
30,34,-4,13,-5,-2,-10,-4,
19,51,0,19,1,2,-11,-6,
22,53,5,25,-8,3,-11,-11,
29,44,7,35,-2,4,-17,-9,
21,55,14,24,-14,5,-16,-7,
33,45,-1,24,-11,8,-14,-8,
27,40,4,27,-5,-4,-20,-2,
26,50,-2,24,-3,-3,-17,-7,
22,39,-6,19,-14,1,-10,-7,
24,41,-3,23,-3,1,-9,-11,
2,
37,-30,-23,12,8,-4,-7,-7,
40,-34,-18,15,0,-3,-7,-2,
46,-39,-18,14,5,-11,-4,2,
59,-36,-24,15,1,-12,-3,2,
55,-48,-22,12,5,-14,-7,4,
50,-51,-17,11,2,-11,-9,-1,
50,-46,-12,10,7,-8,-7,-1,
54,-44,-11,13,12,-8,-2,1,
54,-40,-13,13,2,-10,1,3,
58,-40,-24,10,5,-18,-1,-1,
56,-36,-23,1,3,-14,-8,2,
56,-48,-25,5,2,-7,-6,7,
55,-44,-13,9,6,-4,-6,5,
56,-30,-11,15,12,-5,7,2,
47,-25,1,11,13,8,-4,11,
29,-21,12,21,9,0,3,0,
3,
56,-10,3,5,-3,0,12,-3,
52,-20,-2,-5,-20,0,6,-9,
56,-18,2,3,-12,6,9,-9,
48,-29,1,-3,-13,7,4,-16,
43,-29,13,-4,-9,12,6,-15,
40,-31,9,2,-15,13,3,-12,
34,-34,13,-4,-8,7,0,-12,
34,-31,14,-6,-12,6,-6,-12,
35,-22,16,-4,-16,10,-3,-5,
31,-22,16,-9,-18,9,0,-6,
30,-28,17,-7,-18,8,1,-10,
36,-25,16,-9,-18,6,-1,-9,
27,-14,10,-14,-13,5,-5,-12,
21,-17,11,-11,-15,5,-4,-14,
23,-14,17,-12,-10,12,-2,-8,
21,-14,15,-21,-15,10,-3,-14,
5,
53,28,17,0,-6,-12,-11,3,
69,31,13,4,-15,2,-5,-5,
68,45,24,3,-16,-3,10,3,
68,39,12,4,-4,-2,2,-3,
67,33,3,8,1,-5,-3,-3,
66,34,6,-3,0,-8,-5,-1,
67,35,9,4,-15,-11,-5,-1,
69,28,14,-4,-5,-8,-16,-4,
73,36,1,-1,5,-6,-10,-5,
70,34,10,7,-9,-5,-10,-1,
77,46,14,-6,-6,-1,-5,-4,
68,28,2,-9,-9,-1,-7,4,
68,29,-3,-11,-3,0,-12,3,
61,13,-6,-14,-8,-4,-7,-7,
63,20,-10,-14,-25,-9,-4,-6,
45,25,-1,-15,-3,-3,-6,-6,
4,
89,25,19,20,-6,-13,-5,-9,
87,32,19,20,-9,-14,-5,-12,
99,20,17,20,-14,-15,1,-13,
104,9,18,18,-21,-24,-6,-16,
107,4,13,21,-22,-28,-5,-11,
94,-10,9,28,-28,-23,10,-1,
104,10,7,20,-18,-21,8,-8,
97,6,5,7,-27,-19,0,-10,
95,9,2,14,-30,-26,1,-5,
97,0,8,13,-27,-17,3,-4,
97,-1,6,12,-25,-19,0,0,
91,15,17,21,-26,-22,0,-6,
92,16,17,21,-28,-25,-3,-8,
84,13,15,13,-32,-22,-3,-10,
84,13,19,11,-19,-15,1,-17,
78,25,16,15,-14,-9,-2,-13,
6,
31,12,3,13,6,1,3,5,
37,28,12,-1,0,-7,-16,-9,
60,48,17,-11,3,-15,-8,-15,
72,51,4,-23,-3,-24,-16,-16,
63,37,-1,-29,2,-8,-5,-8,
57,29,1,-31,-7,-4,-10,-5,
64,11,5,-39,-21,-3,-12,1,
78,-14,-12,-1,-24,0,5,-15,
62,-36,-21,-1,-33,-9,4,2,
76,-41,-33,2,-15,-21,10,16,
83,-26,-27,5,-12,-10,-7,0,
78,-17,-37,1,-1,-4,-4,1,
84,-7,-33,-4,14,-1,-8,6,
74,-4,-29,-1,14,-6,-2,-2,
63,1,-27,1,10,-2,-7,-5,
43,-2,-22,3,16,8,8,2,
7,
69,36,18,0,-2,-13,2,-1,
69,36,18,0,-2,-13,2,-1,
70,32,15,2,0,-8,-12,2,
70,32,15,2,0,-8,-12,2,
62,41,8,7,-5,-2,-2,0,
56,43,3,9,-4,-5,-10,1,
56,43,3,9,-4,-5,-10,1,
55,48,6,-2,-3,4,-9,-3,
61,35,8,5,3,-1,-7,-7,
61,35,8,5,3,-1,-7,-7,
58,48,7,2,-7,10,-8,-7,
58,48,7,2,-7,10,-8,-7,
47,44,18,10,-5,-2,-9,-6,
51,40,14,11,-7,-7,-1,-1,
51,40,14,11,-7,-7,-1,-1,
57,42,11,3,-5,3,-9,1,
8,
55,-15,-26,-3,12,5,-1,2,
53,-14,-26,-1,18,9,5,5,
47,-30,-17,15,6,4,1,-2,
36,-44,-16,5,8,-2,-2,0,
31,-45,-17,10,11,-8,-5,-2,
35,-55,-19,4,3,-3,-7,-2,
45,-50,-23,11,11,-5,4,5,
43,-51,-26,5,7,-9,4,3,
52,-44,-25,11,9,-7,6,6,
47,-62,-24,3,4,-8,-2,-1,
50,-56,-27,6,4,-5,-2,-5,
48,-50,-21,-2,3,-8,-7,-6,
53,-31,-24,7,3,-5,-6,-7,
52,-28,-32,12,12,-5,-3,4,
35,-28,-22,7,1,-5,-7,-5,
25,-24,-14,5,6,-4,0,-4,
9,
7,1,-20,2,0,-7,-1,-6,
42,27,3,18,-1,-5,-3,-7,
65,37,18,-7,-5,-5,-4,0,
60,40,32,-25,-12,-9,-17,5,
72,19,21,-21,-19,-6,-4,-5,
72,14,7,-8,-22,3,8,8,
82,0,-14,-2,-24,-11,19,8,
74,-6,-15,-7,-13,-19,10,11,
79,-13,-20,-6,-11,-10,5,21,
